Datetime,base - Site Energy: Total (E) (kWh),base - Site Energy: PV (E) (kWh),OWM Temp,base - Living Space: Indoor Temperature (F),base - Garage: Indoor Temperature (F),base - Unfinished Basement: Indoor Temperature (F),base - Crawlspace: Indoor Temperature (F),base - Unfinished Attic: Indoor Temperature (F),base - Weather: Outdoor Drybulb (F)
2022-01-01 0:30:00,0.454379,0,72.482,74.2038,68.4832,70.9396,69.9112,65.3525,70.1045
2022-01-01 1:30:00,0.395858,0,73.184,74.0623,69.3714,70.9681,69.7745,68.4027,72.8915
2022-01-01 2:30:00,0.361603,0,72.59,73.888,70.2495,70.9649,69.868,70.7047,72.8375
2022-01-01 3:30:00,0.346694,0,72.842,73.7798,70.5095,70.9416,69.8415,71.4164,72.737
2022-01-01 4:30:00,0.367432,0,72.986,73.7858,70.5271,70.9274,69.8157,71.4278,72.926
2022-01-01 5:30:00,0.444919,0,72.95,73.8626,70.435,70.9156,69.8033,71.0711,72.965
2022-01-01 6:30:00,0.676151,0,72.374,74.0293,70.4039,70.9019,69.7928,70.8363,72.614
2022-01-01 7:30:00,0.826175,0.075259,71.834,74.2826,70.3534,70.886,69.7849,70.454,72.059
2022-01-01 8:30:00,0.897485,0.457783,72.068,74.536,70.817,70.8777,69.7833,71.2627,71.9705
2022-01-01 9:30:00,0.990244,0.786356,73.868,75.3435,70.8287,70.8764,69.7933,71.8079,73.118
2022-01-01 10:30:00,1.02934,1.30989,70.97,75.3703,70.7409,70.8599,69.8153,71.4643,72.1775
2022-01-01 11:30:00,0.990626,0.708536,71.51,75.0811,70.2364,70.9054,69.8456,70.4436,71.285
2022-01-01 12:30:00,0.984265,0.624694,71.618,75.0449,70.0388,70.9291,69.865,70.2069,71.573
2022-01-01 13:30:00,1.00356,0.328845,69.818,74.9946,70.0244,70.9326,69.8715,69.8764,70.568
2022-01-01 14:30:00,1.07591,0.612391,71.258,75.4056,69.9212,70.889,69.8732,69.5251,70.658
2022-01-01 15:30:00,1.03849,0.658097,67.91,75.0481,69.9096,70.8217,69.8729,69.2951,69.305
2022-01-01 16:30:00,1.03327,0.315829,68.522,74.7963,69.7728,70.878,69.8759,68.9888,68.267
2022-01-01 17:30:00,1.23179,0.069039,69.71,74.7066,69.3753,70.8996,69.8748,68.3892,69.215
2022-01-01 18:30:00,1.27286,0,69.314,75.0036,69.4301,70.9079,69.8678,68.4037,69.479
2022-01-01 19:30:00,1.27465,0,69.458,75.0599,69.4697,70.9024,69.8601,68.5391,69.398
2022-01-01 20:30:00,1.33698,0,69.458,75.3546,69.5381,70.8654,69.8568,68.5613,69.458
2022-01-01 21:30:00,1.14082,0,68.324,75.1237,69.4344,70.7374,69.8567,67.7836,68.7965
2022-01-01 22:30:00,0.844954,0,66.56,74.8064,68.9285,70.8451,69.8589,66.1856,67.295
2022-01-01 23:30:00,0.58358,0,66.776,74.4271,68.5791,70.8434,69.8558,64.995,66.686
