Datetime,base - Site Energy: Total (E) (kWh),base - Site Energy: PV (E) (kWh),OWM Temp,base - Living Space: Indoor Temperature (F),base - Garage: Indoor Temperature (F),base - Unfinished Basement: Indoor Temperature (F),base - Crawlspace: Indoor Temperature (F),base - Unfinished Attic: Indoor Temperature (F),base - Weather: Outdoor Drybulb (F)
2012-01-01 00:30:00,0.539304,0.0,69.60200000000009,75.9993,69.0224,70.4621,69.5935,67.9196,69.5795
2012-01-01 01:30:00,0.410677,0.0,68.32400000000001,75.9874,68.764,70.3772,69.4683,67.0686,68.8565
2012-01-01 02:30:00,0.361603,0.0,67.40600000000003,75.7117,68.5398,70.3196,69.3581,66.1093,67.7885
2012-01-01 03:30:00,0.346694,0.0,67.6760000000001,75.3331,68.1412,70.2491,69.3247,65.0728,67.5635
2012-01-01 04:30:00,0.367432,0.0,66.16400000000003,74.9654,67.9554,70.1991,69.2911,64.4854,66.794
2012-01-01 05:30:00,0.444919,0.0,67.22600000000008,74.684,67.7548,70.1573,69.2543,63.806,66.7835
2012-01-01 06:30:00,0.676151,0.0,66.29000000000002,74.1805,67.7024,70.1299,69.2181,63.7433,66.68
2012-01-01 07:30:00,0.826175,0.032429,69.13399999999999,74.47,67.9122,70.1019,69.1819,64.2915,67.949
2012-01-01 08:30:00,0.897485,0.170683,73.63399999999999,74.924,69.9492,70.1199,69.1502,68.63,71.759
2012-01-01 09:30:00,1.10078,0.351094,76.37000000000006,75.7177,73.3214,70.1012,69.1416,76.8026,75.23
2012-01-01 10:30:00,1.18277,1.41883,78.29600000000005,75.9992,75.1156,70.0467,69.1712,84.3767,77.4935
2012-01-01 11:30:00,1.24896,2.72913,80.07800000000007,75.9984,75.9325,70.0914,69.2382,89.5212,79.3355
2012-01-01 12:30:00,1.40647,3.66615,79.91600000000001,75.9966,76.3518,70.0368,69.3226,92.4166,79.9835
2012-01-01 13:30:00,1.58684,4.19363,79.97000000000007,75.9957,76.513,69.9608,69.4106,93.5539,79.9475
2012-01-01 14:30:00,1.92866,4.08204,79.91600000000001,75.9937,76.3402,69.8351,69.4855,92.9171,79.9385
2012-01-01 15:30:00,1.89061,3.56142,79.68200000000002,75.9941,75.861,69.6635,69.5696,91.2976,79.7795
2012-01-01 16:30:00,1.91951,2.616,78.80000000000001,75.994,75.1729,69.7763,69.6379,89.4853,79.1675
2012-01-01 17:30:00,2.11474,1.18889,77.03600000000007,75.9957,74.271,69.7849,69.6743,86.6488,77.771
2012-01-01 18:30:00,2.0028,0.0,75.34400000000008,75.9966,73.2573,69.8488,69.6654,81.8885,76.049
2012-01-01 19:30:00,1.90747,0.0,74.39000000000001,75.9964,72.4174,69.9022,69.6985,77.8163,74.7875
2012-01-01 20:30:00,1.91259,0.0,72.66200000000006,75.9951,71.7787,69.9014,69.7037,74.9084,73.382
2012-01-01 21:30:00,1.57039,0.0,72.608,75.9965,71.2182,69.8535,69.6684,72.6464,72.6305
2012-01-01 22:30:00,1.15276,0.0,71.52800000000008,75.9974,70.789,70.0492,69.6451,70.9924,71.978
2012-01-01 23:30:00,0.764575,0.0,69.54800000000003,75.9984,70.3715,70.142,69.6243,69.4812,70.373
